word,count
bro,70702
com,20452
youtube,20376
href,20236
amp,15814
akka,15280
tamil,11708
oru,10530
mam,9359
ku,9113
enna,7293
podunga,6648
hai,6631
nalla,6275
india,5905
iruku,5780
unga,5718
illa,5484
sollunga,5260
panna,5248
videos,4896
romba,4838
intha,4746
jai,4631
neenga,4149
years,3865
has,3857
results,3552
app,3506
indian,3434
pathi,3366
irukku,3309
search_query,3239
ki,3221
enaku,3202
enga,2853
semma,2767
pannunga,2732
ok,2729
appa,2709
ithu,2603
panni,2571
antha,2568
vijay,2479
english,2401
hindi,2219
krishna,2127
indha,2124
epdi,2088
va,2037
mari,2034
konjam,1981
athu,1969
ena,1965
nadu,1964
entha,1927
tips,1901
chennai,1895
ellam,1891
bhai,1883
tamilnadu,1856
using,1821
mattum,1778
thaan,1772
ke,1769
irukum,1766
iruka,1758
youtu,1737
naan,1696
guys,1692
ella,1649
jesus,1644
bhi,1643
namo,1625
looks,1614
kuda,1612
upload,1609
words,1606
kya,1590
iam,1585
samsung,1574
things,1573
im,1565
sema,1560
e0,1556
enakku,1534
padam,1525
ji,1470
atha,1468
songs,1455
ve,1421
favourite,1420
mathiri,1407
eppadi,1395
ila,1394
poda,1388
kerala,1382
solunga,1365
poduga,1337
didn,1324
pana,1310
varum,1308
pola,1297
solluga,1266
telugu,1255
maari,1243
ipo,1237
ippo,1228
andha,1218
idhu,1213
venum,1210
congratulations,1204
thala,1181
har,1179
iphone,1178
evlo,1160
details,1158
vivo,1149
innum,1146
thankyou,1143
fans,1136
months,1133
vedio,1125
varuthu,1118
eruku,1103
pannuga,1095
friends,1094
aana,1088
matha,1086
dai,1080
pannanum,1077
nandri,1072
nala,1069
namma,1051
ahh,1049
doesn,1049
online,1044
movies,1032
means,1029
proud,1027
itha,1024
supertt,1021
called,1014
sonna,1012
started,1009
devi,1008
hii,998
23supertt,994
avanga,990
kids,976
pothu,971
thambi,966
nahi,966
kooda,963
nenga,962
irukka,962
ethu,960
etc,953
having,951
women,949
namah,943
ennoda,932
iruntha,927
solli,904
adhu,902
dei,898
le,898
panrathu,891
google,879
pani,879
sharing,875
iqoo,871
podu,868
hindu,860
sanskrit,859
editing,857
nanum,855
avan,851
parents,839
others,839
realme,838
mom,837
neega,836
pannalama,835
laptop,825
apo,823
ungala,819
comments,815
books,814
indians,812
sollu,801
panunga,800
pushpa,797
irukkum,796
thalapathy,793
vida,790
download,787
appo,786
aur,784
solla,776
ipdi,776
swammi,774
nhi,769
girls,765
periya,764
madurai,762
irunthu,754
ennaku,753
lol,742
moto,741
makes,733
yenna,720
allah,716
languages,715
students,704
lanka,704
mudiyala,704
aap,702
ponnu,702
ada,700
explained,694
rasi,690
yaru,690
panra,690
kitta,684
a2d,675
loved,666
pathu,664
nama,662
whatsapp,662
tata,659
eppo,658
pandrathu,657
varala,651
pottu,650
ayya,648
temples,647
arumai,647
malayalam,647
instagram,643
children,640
kar,639
meenakshi,639
uh,631
nanba,625
modi,623
pona,619
radhe,619
vanthu,617
kku,615
irruku,613
pandra,611
mudiyuma,610
endha,605
govt,603
11ujg,603
uckszu2wh9gy1mb0dv,603
kannada,603
shivaya,602
karnataka,591
salem,586
ungaluku,580
raha,579
kudunga,577
pannu,571
aguthu,571
eyes,570
athuku,569
omg,569
srilanka,566
apdi,565
patha,564
oppo,563
varuma,562
potu,561
ideas,560
issues,557
nega,556
boys,555
problems,553
vlog,553
panuga,552
vachi,552
illama,552
adha,550
erukku,550
que,550
israel,547
ek,546
epadi,546
summa,545
mai,544
rompa,544
inga,544
mujhe,543
onnu,543
says,542
mahadev,540
matum,539
neraya,539
unmai,539
paid,536
coimbatore,536
rama,535
mokka,534
epo,533
anga,533
ivlo,532
vanga,531
minutes,530
punda,529
kum,528
peru,527
malaysia,524
states,521
ivan,518
games,518
products,518
tamils,514
hu,514
naal,513
af,512
pakka,511
poga,509
crypto,509
fav,506
views,505
mama,504
redmi,503
rendu,503
sony,501
website,500
pannalam,500
illai,497
happened,497
saree,496
kid,495
gonna,495
shiva,492
ninga,492
questions,490
cars,489
etha,488
pannitu,484
playing,483
ithula,482
muslim,481
thalaiva,478
software,477
congrats,477
arun,476
theriyala,474
enda,473
soluga,472
soo,470
okay,466
hats,464
chinna,463
info,462
lakhs,459
vantha,458
kiya,458
kumar,458
turupur,458
amazon,457
gives,457
thanjavur,456
